a.1.1.1;Truncated hemoglobin
g.9.1.1;Defensin
g.9.1.2;Myotoxin
g.9.1.3;Tick carboxypeptidase inhibitor-like
g.10.1.1;Hairpin loop containing domain
g.10.1.2;Anti-platelet protein
g.10.1.3;Pan module (APPLE domain)
g.11.1.1;Neurotoxin III (ATX III)
g.12.1.1;LDL receptor-like module
g.13.1.1;Crambin-like
g.14.1.1;Kringle modules
g.14.1.2;Fibronectin type II module
g.68.1.1;Ovomucoid domain III-like
g.68.1.2;Serine proteinase inhibitor lekti
g.69.1.1;Plant proteinase inhibitors
g.16.1.1;Trefoil
g.16.2.1;Plexin repeat
g.16.3.1;Variant surface glycoprotein MITAT 1.2, VSG 221, C-terminal domain
g.70.1.1;Necrosis inducing protein 1, NIP1
g.17.1.1;Platelet-derived growth factor-like
g.17.1.2;Transforming growth factor (TGF)-beta
g.17.1.7;Noggin
g.17.1.3;Neurotrophin
g.17.1.4;Gonadodropin/Follitropin
g.17.1.6;Interleukin 17F, IL-17F
g.17.1.5;Coagulogen
g.18.1.1;Complement control module/SCR domain
g.19.1.1;Sea anemone toxin k
g.19.1.2;Crisp domain
g.20.1.1;Blood coagulation inhibitor (disintegrin)
g.21.1.1;Methylamine dehydrogenase, L chain
g.22.1.1;ATI-like
g.22.1.2;BSTI
g.23.1.1;TB module/8-cys domain
g.24.1.1;TNF receptor-like
g.24.1.2;BAFF receptor-like
g.25.1.1;Heparin-binding domain from vascular endothelial growth factor
g.26.1.1;Antifungal protein (AGAFP)
g.27.1.1;Fibronectin type I module
g.27.1.2;VWC domain
g.28.1.1;Thyroglobulin type-1 domain
g.29.1.1;Type X cellulose binding domain, CBDX
g.55.1.1;Cellulose docking domain, dockering
g.30.1.1;Carboxypeptidase inhibitor
g.31.1.1;Tachycitin
g.31.1.2;Antifungal peptide scarabaecin
g.58.1.1;Pheromone ER-23
g.63.1.1;Mollusk pheromone
g.61.1.1;Apical membrane antigen 1
g.64.1.1;Somatomedin B domain
g.65.1.1;Notch domain
g.71.1.1;Mini-collagen I, C-terminal domain
g.76.1.1;Hormone receptor domain
g.77.1.1;Resistin
g.78.1.1;YAP1 redox domain
g.2.1.1;Heat-stable enterotoxin B
g.2.2.1;Neurotoxin B-IV
g.2.3.1;Pollen allergen ole e 6
g.2.4.1;VhTI-like
g.83.1.1;Tim10/DDP
g.84.1.1;Vanabin-like
g.32.1.1;GLA-domain
g.33.1.1;Cholecystokinin A receptor, N-domain
g.34.1.1;HIV-1 VPU cytoplasmic domain
g.35.1.1;HIPIP (high potential iron protein)
g.36.1.1;Ferredoxin thioredoxin reductase (FTR), catalytic beta chain
g.37.1.1;Classic zinc finger, C2H2
g.37.1.3;Plant C2H2 finger (QALGGH zinc finger)
g.37.1.2;C2HC finger
g.37.1.4;HkH motif-containing C2H2 finger
g.37.1.7;CHHC finger
g.37.1.5;variant C2H2 finger
g.37.1.6;BED zinc finger
g.38.1.1;Zn2/Cys6 DNA-binding domain
g.39.1.1;Erythroid transcription factor GATA-1
g.39.1.2;Nuclear receptor
g.39.1.10;Transcription factor grauzone Cg33133-Pa, zinc finger associated domain
g.39.1.3;LIM domain
g.39.1.4;LASP-1
g.39.1.5;DNA repair factor XPA DNA- and RPA-binding domain, N-terminal subdomain
g.39.1.6;Ribosomal protein L24e
g.39.1.9;Hypothetical zinc finger protein YacG
g.39.1.7;Ribosomal protein S14
g.39.1.8;C-terminal, Zn-finger domain of MutM-like DNA repair proteins
g.39.1.11;ClpX chaperone zinc binding domain
g.39.1.12;PARP-type zinc finger
g.39.1.13;Prokaryotic DksA/TraR C4-type zinc finger
g.39.1.14;Type II thymidine kinase zinc finger
g.39.1.15;A20-like zinc finger
g.39.1.16;THAP domain
g.39.1.17;TRASH domain
g.39.1.18;FwdE C-terminal domain-like
g.72.1.1;SBT domain
g.40.1.1;Retrovirus zinc finger-like domains
g.41.1.1;Methionyl-tRNA synthetase (MetRS), Zn-domain
g.41.2.1;Microbial and mitochondrial ADK, insert "zinc finger" domain
g.41.14.1;NADH pyrophosphatase intervening domain
g.41.3.1;Transcriptional factor domain
g.41.3.2;DNA primase zinc finger
g.41.3.3;Prokaryotic DNA topoisomerase I, a C-terminal fragment
g.41.3.4;Putative zinc binding domain
g.41.3.5;PhnA zinc-binding domain
g.41.4.1;Casein kinase II beta subunit
g.41.5.1;Rubredoxin
g.41.5.2;Desulforedoxin
g.41.5.3;Cytochrome c oxidase Subunit F
g.41.10.1;Zn-finger domain of Sec23/24
g.41.11.1;Ran binding protein zinc finger-like
g.41.13.1;Hypothetical protein Ta0289 C-terminal domain
g.41.6.1;Hypothetical protein MTH1184
g.41.7.1;Aspartate carbamoyltransferase, Regulatory-chain, C-terminal domain
g.41.8.1;Ribosomal protein L37ae
g.41.8.2;Ribosomal protein L37e
g.41.8.3;Ribosomal protein L44e
g.41.8.4;Ribosomal protein S27e
g.41.8.5;Ribosomal protein L32p
g.41.8.6;Ribosomal protein L33p
g.41.8.7;Ribosomal protein L40e
g.41.8.8;Ribosomal protein S27a
g.41.9.2;RBP12 subunit of RNA polymerase II
g.41.9.3;RpoE2-like
g.41.15.1;NOB1 zinc finger-like
g.41.16.1;Nucleolar RNA-binding protein Nop10-like
g.41.17.1;CSL zinc finger
g.41.18.1;YfgJ-like
g.42.1.1;Ribosomal protein L36
g.59.1.1;Zinc-binding domain of translation initiation factor 2 beta
g.79.1.1;WRKY DNA-binding domain
g.43.1.1;B-box zinc-binding domain
g.44.1.1;RING finger domain, C3HC4
g.44.1.2;U-box
g.44.1.3;Variant RING domain
g.44.1.4;IBR domain
g.44.1.5;Zf-UBP
g.44.1.6;ZZ domain
g.45.1.1;Pyk2-associated protein beta ARF-GAP domain
g.45.1.2;RecO C-terminal domain-like
g.46.1.1;Metallothionein
g.47.1.1;Zinc domain conserved in yeast copper-regulated transcription factors
g.48.1.1;Ada DNA repair protein, N-terminal domain (N-Ada 10)
g.49.1.1;Protein kinase cysteine-rich domain (cys2, phorbol-binding domain)
g.49.1.2;TFIIH p44 subunit cysteine-rich domain
g.49.1.3;C1-like domain
g.80.1.1;AN1-like Zinc finger
g.85.1.1;MYND zinc finger
g.85.1.2;HIT zinc finger
g.89.1.1;CHY zinc finger
g.50.1.1;FYVE, a phosphatidylinositol-3-phosphate binding domain
g.50.1.2;PHD domain
g.50.1.3;variant PHD-like domain
g.51.1.1;Zn-binding domains of ADDBP
g.52.1.1;Inhibitor of apoptosis (IAP) repeat
g.66.1.1;CCCH zinc finger
g.90.1.1;E6 C-terminal domain-like
g.91.1.1;E7 C-terminal domain-like
g.67.1.1;Zinc finger domain of DNA polymerase-alpha
g.53.1.1;TAZ domain
g.92.1.1;T-antigen specific domain-like
g.62.1.1;Cysteine-rich DNA binding domain, (DM domain)
g.86.1.1;Coronavirus NSP10-like
g.93.1.1;Zinc hairpin stack
g.54.1.1;DnaJ/Hsp40 cysteine-rich domain
g.81.1.1;HSP33 redox switch-like
g.73.1.1;CCHHC domain
g.74.1.1;Sec-C motif
g.87.1.1;Viral leader polypeptide zinc finger
g.75.1.1;TSP type-3 repeat
g.82.1.1;Expressed protein At2g23090/F21P24.15
g.88.1.1;TSP9-like
h.1.1.1;Triple coiled coil domain of C-type lectins
h.1.2.1;Trimerization domain of TRAF
h.1.3.1;Leucine zipper domain
h.1.4.1;Inovirus (filamentous phage) major coat protein
h.1.5.1;Tropomyosin
h.1.6.1;Chicken cartilage matrix protein
h.1.7.1;Assembly domain of cartilage oligomeric matrix protein
h.1.8.1;Fibrinogen coiled-coil and central regions
h.1.9.1;Coiled-coil domain of nucleotide exchange factor GrpE
h.1.10.1;Coiled-coil dimerization domain from cortexillin I
h.1.11.1;XRCC4, C-terminal oligomerization domain
h.1.20.1;Intermediate filament protein, coiled coil region
h.1.12.1;Delta-sleep-inducing peptide immunoreactive peptide
h.1.13.1;NSP4 oligomerization domain
h.1.13.2;NSP3 C-terminal domain, NS34
h.1.14.1;Multimerization domain of the phosphoprotein from sendai virus
h.1.15.1;SNARE fusion complex
h.1.16.1;Outer membrane lipoprotein
h.1.17.1;Fibritin
h.1.18.1;N-terminal coiled coil domain from apc
h.1.19.1;Tetrabrachion
h.1.21.1;Eea1 homodimerisation domain
h.1.22.1;Mitotic arrest deficient-like 1, Mad1
h.1.23.1;Dimerization motif of sir4
h.1.24.1;Head morphogenesis protein gp7
h.1.25.1;Troponin T
h.1.25.2;Troponin I
h.1.26.1;Myosin rod fragments
h.1.27.1;RhoA-binding domain
h.1.27.2;Rabaptin-5
h.1.28.1;Geminin coiled-coil domain
h.1.29.1;Vasodilator-stimulated phosphoprotein, VASP, tetramerisation domain
h.1.30.1;MPN010-like
h.1.31.1;Eferin C-derminal domain-like
h.1.32.1;Heterotrimerisation domain of extracellular hemoglobin linker subunits
h.1.33.1;Sec2 N-terminal region
h.1.34.1;RILP dimerisation region
h.2.1.1;Tetramerization domain of the Mnt repressor
h.3.1.1;Influenza hemagglutinin (stalk)
h.3.2.1;Virus ectodomain
h.3.3.1;Coronavirus S2 glycoprotein
h.4.1.1;Variant surface glycoprotein (N-terminal domain)
h.4.2.1;Clostridium neurotoxins, "coiled-coil" domain
h.4.3.1;Colicin Ia, N-terminal domain
h.4.9.1;Colicin E3 receptor domain
h.4.4.1;Hemolysin E (HlyE, ClyA, SheA)
h.4.4.2;HBL-like
h.4.5.1;Methyl-accepting chemotaxis protein (MCP) signaling domain
h.4.6.1;Oligomerization domain of hepatitis delta antigen
h.4.8.1;F1 ATPase inhibitor, IF1, C-terminal domain
h.4.11.1;Chemotaxis phosphatase CheZ
h.4.12.1;Rad50 coiled-coil Zn hook
h.4.10.1;C-terminal domain of PLC-beta
h.4.13.1;Tumor suppressor gene product Apc
h.4.15.1;Proline/betaine transporter ProP, C-terminal cytoplasmic domain
h.4.16.1;Fzo-like conserved region
h.4.17.1;Occludin/ELL domain
h.4.18.1;Gam-like
h.4.19.1;PspA lactotransferrin-binding region
h.5.1.1;Apolipoprotein A-I
h.6.1.1;Apolipoprotein A-II
h.7.1.1;Synuclein
i.1.1.1;Ribosome complexes
i.1.1.2;Large subunit
i.1.1.3;Small subunit
i.25.1.1;Collagen fibre
i.26.1.1;Fatty acid syntase
i.2.1.1;Helicase
i.3.1.1;ATP synthase
i.18.1.1;Membrane ion ATPase
i.13.1.1;Multidrug resistance ABC transporter
i.4.1.1;Electron transport chains
i.5.1.1;Photosystems
i.6.1.1;Viruses and virus-receptor complexes
i.7.1.1;Reovirus components
i.17.1.1;Virus envelope proteins
i.14.1.1;Bacteriophage HK97 procapsid (prohead II)
i.19.1.1;Bacteriophage T4 3D cryo-EM reconstruction
i.8.1.1;RNA polymerase
i.9.1.1;Blood clotting
i.10.1.1;Microtubule complexes
i.15.1.1;Muscle protein complexes
i.20.1.1;Ep-cadherin
i.21.1.1;Transferrin receptor-transferrin complex
i.22.1.1;Signal recognition particle (SRP) complex
i.16.1.1;GroE chaperon
i.23.1.1;clathrin assemblies
i.24.1.1;anthrax toxin protective antigen-receptor complex
i.11.1.1;Computational models partly based on experimental data
i.12.1.1;Proteins of incorrect, partial and unknown sequence
j.1.1.1;Gramicidin
j.1.1.2;Peptaibol
j.2.1.1;Actagardine
j.2.1.2;Mersacidin
j.2.1.3;Nisin
j.106.1.1;Leucocin-like bacteriocin
j.3.1.2;Insect defense peptide thanatin
j.3.1.3;Androctonin
j.3.1.6;Gomesin
j.3.1.7;Tachyplesin I
j.3.1.4;theta defensin-like
j.3.1.5;Lactoferricin B (lfcinb)
j.3.1.8;Hepcidin
j.3.1.9;Cyclic trypsin inhibitor STFI-1
j.4.1.1;Magainin
j.4.1.3;Moricin
j.4.1.4;Tachykinin peptides
j.4.1.5;Cytotoxic linear peptide IsCT
j.4.1.6;Distinctin
j.5.1.1;Microcin J25
j.5.1.2;Subtilosin A
j.6.1.1;Peptide hormones
j.102.1.1;Angiotensin
j.7.1.1;delta-Toxin
j.7.2.1;Antimicrobial peptide HP(2-20)
j.7.3.1;Anticancer peptides
j.8.1.1;PSP1-like
j.9.1.1;30S ribosomal protein THX
j.9.2.1;HIV-1 REV fragments
j.9.3.1;RSG-1.2 peptide
j.9.4.1;TAT peptides
j.9.5.1;Box B RNA-binding N peptide
j.9.6.1;HTLV-1 peptide
j.9.7.1;Ilarvirus coat protein N-terminal fragment
j.10.1.1;DNA-binding domains of HMG-I(Y)
j.11.1.1;VPR protein fragments
j.12.1.1;Inactivation gate of potassium and sodium channels
j.13.1.1;Coagulation factor VIII, membrane-binding peptide
j.14.1.1;Phosphocholine cytidylyltransferase membrane-binding peptides
j.15.1.1;Parathyroid hormone fragments (residues between 1 and 39)
j.16.1.1;Corticotropin releasing hormone
j.17.1.1;Liposaccharide-binding protein CAP18 (residues 106-137)
j.18.1.1;Polymorphic antigen SPAM-H1 (residues 90-127)
j.19.1.1;Mellitin-like toxins
j.19.1.2;Poneratoxin (Pac-Tx)
j.20.1.1;Tertiapin
j.21.1.1;Antifreeze polypeptide HPLC-6
j.22.1.1;Troponin I fragments
j.23.1.1;Pilin fragments
j.24.1.1;RP71935
j.25.1.1;Atrial natriuretic peptide
j.26.1.1;Compstatin
j.27.1.1;Membrane-bound antimicrobial peptides
j.28.1.1;Endothelin-like
j.29.1.1;Heat-stable enterotoxin (HSE)
j.30.1.1;mu-conotoxin
j.30.1.2;alpha-conotoxin
j.30.1.3;Alpha-a-conotoxin
j.30.1.4;psi-conotoxin
j.30.1.5;Conotoxin tiA
j.30.1.6;Conotoxin mrIB
j.30.1.7;Delta-conotoxin
j.31.1.1;Conantokin G (conatoxin G)
j.31.1.2;Conantokin-T
j.32.1.1;Contryphan-R
j.33.1.1;Immunodominant region of protein G of BRSV
j.33.2.1;Potassium channel toxins
j.107.1.1;Penaeidin-3a
j.34.1.1;Bradykinin
j.35.1.1;Transmembrane helical fragments
j.36.1.1;Ferredoxin chloroplastic transit peptide
j.36.2.1;Vacuolar targeting peptide from NA-PROPI (residues 29-54)
j.36.3.1;Microcin leader peptide
j.36.4.1;ATP synthase beta chain, mitochondrial prepeptide
j.37.1.1;Phospholamban fragments
j.79.1.1;Influenza hemagglutinin fragments
j.38.1.1;Fragments of bowman-birk inhibitor
j.39.1.1;Fragments of apolipoproteins
j.40.1.1;Transactivation protein TAT
j.41.1.1;Proline pipe
j.42.1.1;Amyloid peptides
j.43.1.1;Gelsolin fragment (residues 150-169)
j.44.1.1;Acetylcholine receptor fragment (residues alpha 67-76)
j.45.1.1;Thrombomodulin EGF domain fragment (residues 409-426)
j.78.1.1;C-terminal fragment of thermolysin
j.47.1.1;Capsid protein major homology region peptide analog
j.48.1.1;CD4 and CD8 receptor regions
j.108.1.1;Proto-oncogene tyrosine-protein kinase lck CD4/CD8 interacting region
j.49.1.1;Heparin binding site of non collagenous domain I (nc1) of collagen facit xiv
j.50.1.1;GroES fragments
j.51.1.1;cAMP and cGMP phosphodiesterase (PDE) fragments
j.52.1.1;HIV-1 Nef protein fragments
j.53.1.1;HIV-1 envelope gp120 protein fragments
j.85.1.1;HIV-1 gp41 fragments
j.54.1.1;Hepatitis C virus N-terminal capsid protein fragment 2-45
j.55.1.1;P27(KIP1) fragment 22-106
j.56.1.1;Transducin alpha-1 subunit rhodopsin binding domain (res. 340-350)
j.103.1.1;Transducin gamma-t1 subunit rhodopsin bound fragment (res. 60-71)
j.57.1.1;alpha-lactalbumin peptide model
j.58.1.1;Coat protein-binding domain of bacteriophage P22 scaffolding protein
j.59.1.1;Immunoreceptor tyrosine kinase activation motif, ITAM
j.60.1.1;Integrin fragments
j.61.1.1;Human glutathione reductase (HGR) inhibitor
j.62.1.1;Small subunit C-terminal inhibitory peptide of ribonucleotide reductase
j.63.1.1;Histone H3 C-terminal fragment 130-135
j.64.1.1;Smad-binding domain of Sara
j.96.1.1;Transactivation domain
j.112.1.1;Nuclear receptor coactivator Src-1
j.104.1.1;TBP-binding domain of the transcription factor IIIb Brf1 subunit
j.97.1.1;BRCA2 BRC4 repeat
j.65.1.1;Peptide derived from p-21 activated kinase
j.66.1.1;pak1 autoregulatory domain
j.67.1.1;Translocated intimin receptor (tir) intimin-binding domain
j.68.1.1;Fragments of the L-type calcium channel alpha subunit Cav.1 (dihydropyridine receptor)
j.69.1.1;Tumor suppressor p53 fragments
j.70.1.1;FxFG nucleoporin repeats
j.71.1.1;beta-Catenine bound non-globular protein regions
j.72.1.1;Synaptobrevin-II fragments
j.73.1.1;VMIP-II fragment
j.74.1.1;Papillomavirus e6-interacting peptide of e6ap
j.75.1.1;Isolated insulin B-chain
j.76.1.1;N-terminal hairpin of ubiquitin (residues 1-17)
j.77.1.1;alpha-helical hairpin of p8mtcp1
j.80.1.1;Syndecan-4 cytoplasmic domain
j.86.1.1;Actin-binding peptides
j.81.1.1;Pituitary adenylate cyclase activating polypeptide, pacap21
j.87.1.1;Rack1 interaction site of the CAMP-specific phosphodiesterase pde4d5.
j.88.1.1;Prepeptide of 5-ALAS
j.82.1.1;Cholecystokinin receptor fragments
j.89.1.1;the cytoplasmic N-terminus of the bk beta-subunit kcnmb2
j.83.1.1;Trypsin inhibitor SFTIf-1
j.90.1.1;Prion protein fragments
j.91.1.1;Tumor suppressor protein p19-ARF fragment
j.92.1.1;Antennapedia homeodomain fragments
j.93.1.1;Sheep myeloid antimicrobial peptide SMAP29 based peptides
j.94.1.1;alpha-2a adrenergic receptor pepride t3-i2
j.95.1.1;Catestatin fragment from chromogranin A
j.98.1.1;Bhpbr3, the Baff-binding loop of br3 embedded in a beta-hairpin peptide
j.99.1.1;N-terminal fragment of gastric H/K-ATPase
j.100.1.1;Barstar fragment
j.101.1.1;Cannabinoid receptor 1 (CB1) fragment
j.84.1.1;Ribosomal protein L10
j.105.1.1;Ubiquitin interacting motif (UIM)
j.109.1.1;Metal-binding peptide from MerP
j.110.1.1;Marinostatin, MstI
j.111.1.1;Cross-reactive peptides from 60S acidic ribosomal protein p2
j.113.1.1;NTR, cyclotide processing element
j.114.1.1;HMG-box transcription factor 1 fragments
j.115.1.1;MAD protein fragments
j.116.1.1;Fragments of TNF receptors
j.117.1.1;Ezrin-radixin-moesin binding phosphoprotein 50 (ebp50) fragments
j.118.1.1;Ribosomal protein L34p
j.122.1.1;Ribosomal protein S21p
j.119.1.1;Retinoblastoma-associated protein RB1 fragments
j.120.1.1;Genome linked protein vpg
j.121.1.1;Programmed cell death protein 5 fragments
k.41.1.1;alpha+beta folds
k.42.1.1;Function-directed selections
k.1.1.1;Hybrid and chimeric proteins
k.2.1.1;Amphiphilic (amphipathic) alpha helix
k.3.1.1;Collagen-like peptides
k.4.1.1;Coiled serine
k.40.1.1;Designed trimeric coiled-coil
k.6.1.1;Designed heterodimeric coiled-coil
k.7.1.1;Thermostable heterotrimeric coiled coil
k.8.1.1;Designed four-helix bundle protein
k.9.1.1;Designed single chain three-helix bundle
k.10.1.1;Peptide f (amphiphilic octadecapeptide)
k.11.1.1;Retro-GCN4 leucine zipper
k.31.1.1;Glytm1bzip
k.12.1.1;Zinc finger design
k.13.1.1;Protein A Ig(Fc)-binding domain mimics
k.14.1.1;Zinc finger based beta-beta-alpha motif
k.15.1.1;helix-turn-helix motif
k.16.1.1;alpha2d
k.17.1.1;Right-handed coiled coil
k.38.1.1;TPR domain-based design
k.18.1.1;Erythropoietin (EPO) mimetic peptides
k.19.1.1;IL-1 receptor type 1 antagonist peptide AF10847
k.20.1.1;Octreotide (Sandostatine), a somatostatine analogue
k.21.1.1;Calmodulin
k.22.1.1;WW domain-based designs
k.37.1.1;Artificial ankyrin repeat proteins
k.43.1.1;Carboxypeptidase A prodomain-based design
k.45.1.1;Ubiquitin
k.46.1.1;Cro lambda fold design
k.23.1.1;Potassium channel toxin hstx1
k.23.1.2;Mini-protein reproducing the core of the CD4 surface
k.26.1.1;TH (toxin hand)-motif beta-sheet mini-protein designs
k.24.1.1;Inhibitor of mammalian ribonucleotide reductase
k.27.1.1;Integrin-binding RGD peptide
k.28.1.1;Peptide antagonists of IGF-1
k.29.1.1;beta-hairpin design
k.32.1.1;Trp-cage miniprotein
k.30.1.1;Hairpin peptide
k.30.1.2;Zeta peptides
k.33.1.1;IFN mimetic syr6
k.34.1.1;TAZ (CH) Zn-binding domain based design
k.35.1.1;Beta-sheet designs
k.36.1.1;PW2, a tryptophan-rich anticocidial peptide
k.44.1.1;Designed EF-hand type cation-binding loop
k.39.1.1;Metalloporphyrin-binding designed peptides
